keywords,
Term,Meaning
creative,hella methods
complex problems,system time
analytical,system time
independently,initiative
deep understanding,why why
plan and organize,biz
research initiatives,hella methods
collaborat,x-functional
cross functional,x-functional
identify research topics,initiative
server logs,quant stuff
communicate the results,preso
document research results,preso
presentations,preso
different research methods,hella methods
data analytics,quant stuff
designers,x-functional
recruiting criteria,hella methods
design patterns,x-functional
prioritize,x-functional
manage work,biz
SaaS,ZaaZ
enterprise,ZaaZ
b2b,ZaaZ
execute ,initiative
curious,why why
streamline processes,biz
handle logistics,biz
self-starter,initiative
not afraid to ask questions,why why
organization skills,biz
recruit,initiative
schedules ,biz
report,preso
diary studies,hella methods
large data sets,quant stuff
acting on the insights,x-functional
set up equipment,initiative
brown bags,preso
ethnography,hella methods
SPSS,quant stuff
data manipulation,quant stuff
quantitative research methods,quant stuff
design strategy,x-functional
Tableau,quant stuff
SQL,quant stuff
as a leader,initiative